from,to,weight,liga,category
ARD,sportschau,1,,
ARD,SWR,1,,
Axel Springer,BILD,1,,
Axel Springer,WELT,1,,
BFV,FCA,1,vier,ama
BFV,KSC,1,zwei,pro
BFV,SVS,1,drei,ama
BFV,SVW,1,vier,ama
BFV,TSG,1,eins,pro
BSC,aufwind,2,vier,ama
BSC,Henneberg,2,vier,ama
BSC,Herzblut,2,vier,ama
BSC,Kniebuehler,2,vier,ama
BSC,ROW,2,vier,ama
BSC,LEAGUES,3,vier,ama
BSC,BZ,4,vier,ama
BSC,FuPa,4,vier,ama
BSC,kicker,4,vier,ama
BSC,RAN,5,vier,ama
BSC,regiotrends,5,vier,ama
BSC,transfermarkt,5,vier,ama
BSC,WELT,5,vier,ama
DFB,BFV,1,,
DFB,DFL,1,,
DFB,FUSSBALL,1,,
DFB,SBFV,1,,
DFB,WFV,1,,
DFB,EA,2,,
DFB,freenet,2,,
DFB,magentasport,2,,
DFB,TikTok,2,,
DFL,FCH,1,eins,pro
DFL,KSC,1,zwei,pro
DFL,SCF,1,eins,pro
DFL,TSG,1,eins,pro
DFL,ULM,1,zwei,pro
DFL,VFB,1,eins,pro
DFL,DAZN,2,,
DFL,EA,2,,
DFL,SatEins,2,,
DFL,Sky,2,,
DFL,SportEins,2,,
DFL,WOW,2,,
FCA,baier,2,vier,ama
FCA,Nussbaum,2,vier,ama
FCA,Schaa,2,vier,ama
FCA,LEAGUES,3,vier,ama
FCA,FuPa,4,vier,ama
FCA,kicker,4,vier,ama
FCA,RAN,5,vier,ama
FCA,transfermarkt,5,vier,ama
FCA,WELT,5,vier,ama
FCH,AAZ,2,eins,pro
FCH,Bairle,2,eins,pro
FCH,Dream,2,eins,pro
FCH,Frank,2,eins,pro
FCH,Grau,2,eins,pro
FCH,HHZ,2,eins,pro
FCH,Hueper,2,eins,pro
FCH,Hummel,2,eins,pro
FCH,Liha,2,eins,pro
FCH,SocialMe,2,eins,pro
FCH,Ton,2,eins,pro
FCH,DAZN,3,eins,pro
FCH,RTL,3,eins,pro
FCH,Sky,3,eins,pro
FCH,steinerfelix,3,eins,pro
FCH,90min,4,eins,pro
FCH,BILD,4,eins,pro
FCH,fussballdaten,4,eins,pro
FCH,goal,4,eins,pro
FCH,kicker,4,eins,pro
FCH,LigaInsider,4,eins,pro
FCH,onefootball,4,eins,pro
FCH,sportde,4,eins,pro
FCH,SportEins,4,eins,pro
FCH,sportschau,4,eins,pro
FCH,sportstudio,4,eins,pro
FCH,suedwest24,4,eins,pro
FCH,SWM,4,eins,pro
FCH,SWR,4,eins,pro
FCH,tonline,4,eins,pro
FCH,transfermarkt,4,eins,pro
FCH,transfers,4,eins,pro
FCH,BW24,5,eins,pro
FCH,elffreunde,5,eins,pro
FCH,Eurosport,5,eins,pro
FCH,FAZ,5,eins,pro
FCH,fussballeu,5,eins,pro
FCH,fussballnews,5,eins,pro
FCH,neunzigplus,5,eins,pro
FCH,RAN,5,eins,pro
FCH,spiegel,5,eins,pro
FCH,SPOX,5,eins,pro
FCH,stimme,5,eins,pro
FCH,SWR1,5,eins,pro
FCH,SZ,5,eins,pro
FCH,viervierzwei,5,eins,pro
FCH,watson,5,eins,pro
FCH,WELT,5,eins,pro
FCH,Zeit,5,eins,pro
FCH,ZVW,5,eins,pro
FCV,antenneeins,2,vier,ama
FCV,Gildner,2,vier,ama
FCV,Leute,2,vier,ama
FCV,SWB,2,vier,ama
FCV,LEAGUES,3,vier,ama
FCV,tbsportphoto,3,vier,ama
FCV,FuPa,4,vier,ama
